ANZdiv,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,Q1,Q2,Q3,Q4,Q5,Q6,Q7,T6
A,16659.022200000003,282.68589999999995,41624.666,32.8056,825.2541,598.9105,2973.4630999999995,2021.5004999999999,101.4563,38.345299999999995,8.9298,1102.7825,90.62830000000001,42.8067,132.1593,155.6289,374.591,395.231,269.8024,11435.127900000001,633.577,2783.0296,471.6347,0.0,0.0,16651.9617,99706.0
B,268.3836,7624.3024,55238.72319999999,4496.7125,4876.3556,3335.2257,295.4322,683.862,1052.2612000000001,208.4208,225.7339,515.1229,1248.0671,514.9146999999999,482.79940000000005,243.43529999999998,401.475,88.33079999999998,199.5556,5523.817399999999,75.30319999999999,5521.2328,1405.4222,0.0,0.0,215039.1116,309564.0
C,11598.849100000001,33068.90569999999,83439.9004,5433.6767,89752.96179999999,7639.5534,6146.246699999999,16409.818600000006,23867.167599999993,6341.0493,1839.2468000000003,2423.9815,6227.5069,2168.3435,6909.546899999999,6850.0305,14329.629499999995,5699.4985,12231.024399999998,171053.7138,10197.849099999996,65070.45870000001,19241.311099999995,0.0,0.0,107205.7291,715146.0
D,2424.3495000000003,5385.588,10567.953,30735.8145,4187.477199999999,1573.9198999999999,2155.6650999999997,2507.9832,2112.5182999999997,2394.9311000000002,881.3508999999999,3887.7417,4251.594999999999,1679.5895,4290.8688999999995,1258.8103999999998,2726.2659,642.0426,508.4226,27256.054,1521.6558,3690.4476000000004,2935.1324999999997,0.0,0.0,816.8241000000002,120393.0
E,3233.8708,12572.072400000001,3522.4133999999995,4670.4409,144397.7286,3450.813,1578.5634,1714.8959,6654.621499999999,1776.2944,1523.732,18893.5798,6329.6854,1428.943,11915.0072,1007.5512,1533.5784,373.27330000000006,943.3176,1950.5341,314.5066,186660.411,62844.62820000001,0.0,0.0,2662.5375999999997,481953.0
F,3548.3590999999997,4242.5861,11465.6496,999.0980999999999,11562.070200000002,3782.1703,2904.5151,2587.0817,3509.6432999999997,2218.6353,1997.5826000000002,1068.9123,3105.7163,1291.1167,1933.8316,2131.5562999999997,4487.3251,1073.7774,2965.6283000000003,39735.1475,542.987,10215.0275,2589.3032000000003,0.0,0.0,20665.2791,140623.0
G,820.0580999999999,1426.8821,3729.0187999999994,474.1237,4554.2521,1739.4539,2177.522,1164.001,2161.2122,601.4839000000001,599.789,463.11580000000004,1025.6024,545.4608,680.96,686.6428999999999,2069.1360999999997,386.0777,1009.6625,96629.6907,2862.3237,2594.3534999999997,650.3297,0.0,0.0,5361.8476,134413.0
H,358.14149999999995,1892.9215999999997,3186.4905999999996,389.1487,3990.6962000000003,993.2774999999999,859.0668000000001,275.0094,1028.5081,858.7661,935.1548,292.4296,3088.0066000000006,1450.3172000000002,1058.0967,798.7471,369.13509999999997,413.16859999999997,269.25280000000004,75226.49339999999,13.2622,43.3047,11.2091,0.0,0.0,13594.3959,111395.0
I,3409.7632,6720.701,19079.764799999994,1695.976,11560.6459,13423.0053,3910.0478,1761.0183000000002,28092.064000000002,2347.5622,3588.4691000000003,1424.1091,6400.524300000001,2939.5825,4099.301,3279.1163,2854.1872,1300.9539,1389.2672,51183.0135,17002.1737,3478.0356000000006,2021.2999,0.0,0.0,27098.417500000003,220059.0
J,207.2529,621.1641,4713.745799999999,1056.3555000000001,3715.3211,3714.2588,5485.8398,1778.1841,2948.2798000000003,22942.6415,4993.182199999999,1629.0668,7392.439899999999,2512.9178,2945.8893,4260.735000000001,2029.9913000000001,1754.3788,1802.0588999999998,27125.3574,2494.5022,3684.6304000000005,2003.7955000000002,0.0,0.0,5139.0109,116951.0
K,5419.6144,10384.0856,5671.877899999998,12220.7472,9053.921900000001,3815.5288,3368.2897000000003,3221.9326,7745.909799999999,2142.1641,31501.4747,44700.3063,9123.4524,2652.8848,6577.4664,3350.0829000000003,4155.2238,600.0302999999999,954.3478,91137.43620000001,117.5155,2221.8929999999996,566.2237000000001,0.0,0.0,5735.5896999999995,266438.0
L,1226.5887,5334.6023000000005,4406.110899999999,935.9248,10458.7022,9697.1403,8889.693,6189.4103000000005,5632.4879,4331.150799999999,3420.4599,10191.8406,10058.1723,5631.6353,2538.4726,3071.6037000000006,2788.4246,1596.6414,2128.2355000000002,211131.86920000002,398.461,12070.417599999999,40.7035,0.0,0.0,5564.2524,327733.0
M,3144.7257999999997,7193.124,20910.822099999994,5961.553599999999,22979.3394,8810.7573,9200.0732,1427.0079999999998,9912.0658,10603.9723,26631.8035,9323.1799,48811.013999999996,9003.5773,11881.361099999998,4833.1505,5820.6122,4025.2369000000003,3435.3631,6694.0164,4740.8468,25579.194600000003,4863.0199,0.0,0.0,9892.1823,275678.0
N,1491.4069000000002,1525.1747,6350.674999999999,1260.405,6442.6368,3620.6955000000003,2577.3096,4999.7906,9544.064900000001,1633.3704,10684.3457,6223.4176,14390.3782,5727.4403,4275.062099999999,4751.652700000001,7486.9178,3011.1363,2151.7259,4959.3094,4802.5634,169.975,43.7374,0.0,0.0,3367.8082999999997,111491.0
O,124.55389999999998,2009.0382,2368.6169000000004,310.87469999999996,3188.3638,546.3479,643.2778999999999,90.08600000000001,3129.2971,1321.3592999999998,1071.5983999999999,678.5138,3873.3313,958.2889,3577.1049000000003,1804.1196,1059.7029,350.788,774.2043,1773.7194,134277.0,2361.236,435.5676,0.0,0.0,459.0088,167186.0
P,8.8036,139.2116,261.62800000000004,126.1314,119.6487,45.4505,36.9775,17.780199999999997,128.0169,31.1434,745.7612,75.59440000000001,431.6384,193.4836,194.358,1069.5537,203.6454,272.41179999999997,148.72660000000002,53173.7634,59835.0,1148.8298,291.73619999999994,0.0,0.0,16583.7055,135283.0
Q,7.6617,14.8297,374.03070000000014,6.828099999999999,12.959,14.639700000000001,18.101399999999998,17.1845,46.5169,17.302599999999998,2428.0085999999997,17.4635,43.5272,58.4992,265.6791,209.7035,2367.9276999999997,16.0316,28.6146,66199.11349999999,123678.0,420.888,107.1468,0.0,0.0,810.3426,197181.0
R,32.7131,304.3822,146.3351,60.0479,520.2837999999999,335.2048,306.07989999999995,99.06660000000001,91.6012,721.2660000000001,284.6924,182.35180000000003,965.8246999999999,463.7243,408.7011,1649.0587,736.0949,3695.8928000000005,203.40120000000002,23739.3368,6859.4727,376.0595,36.3459,0.0,0.0,2139.0627,44357.0
S,745.5994,3994.3231,2730.3328000000006,979.6866,3026.6435,1182.662,961.4353,146.4991,5229.347699999999,1499.6465,744.7182999999999,493.2364,1734.4055,1054.9939,770.4961999999999,646.4595999999999,1924.5889,289.68190000000004,675.1571,36600.669499999996,808.0,151.6556,39.070600000000006,0.0,0.0,580.6912,67010.0
`P1,9033.0,24025.0,71138.0,13993.0,74953.0,45102.0,52215.0,31399.0,43852.0,19175.0,48617.0,19009.0,97267.0,56340.0,82225.0,80561.0,116687.0,9299.0,24005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918895.0
`P2,31240.0,159446.0,43229.0,30795.0,65169.0,24174.0,24046.0,10614.0,42034.0,23080.0,108194.0,175525.0,31825.0,8067.0,17679.0,10532.0,18678.0,6257.0,8625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839209.0
`P3,1347.2834999999998,617.4189,1627.2441999999999,392.6495,2306.7374,252.9855,367.4008,2553.8876,1592.9595,766.4959,4322.9658,4312.253299999999,1671.4836,747.4798000000001,460.83799999999997,768.3611,231.5475,106.4171,246.23139999999995,76974.8165,0.0,24018.919,103.38210000000001,0.0,0.0,465.2417,126255.0
`P4,1155.0,1583.0,3761.0,3299.0,4247.0,2572.0,3297.0,2280.0,3698.0,777.0,7304.0,20609.0,4237.0,2293.0,1878.0,935.0,2633.0,225.0,1538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68321.0
`P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
`P6,2201.0,19156.0,315602.0,67.0,52.0,203.0,0.0,17436.0,15895.0,11123.0,3894.0,4691.0,12086.0,3725.0,6.0,429.0,1233.0,2485.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,10977.0,421769.0
`T3,99706.0,309564.0,715146.0,120393.0,481953.0,140623.0,134413.0,111395.0,220059.0,116951.0,266438.0,327733.0,275678.0,111491.0,167186.0,135283.0,197181.0,44357.0,67010.0,1.079503e6,371175.0,352260.0,100701.0,0.0,0.0,470810.0,6.417009e6
